GCN Name,Fermi Name,Enclosed Probability,TESS Sector,Trigger,Details,RA,Declination,Error Radius (arcmin),Localization Source,Alt. Local. Cam,Alt. Local. CCD,Alt. Local. Col,Alt. Local. Row,LC,Result
GRB 251028A,GRB251028143,0.00000,97,2025-10-28 03:24:16.690,<a href=yr25/GRB251028143.html>details</a>,149.003,17.518,14.399999999999999,MAXI                    ,-1,-1,-1,-1,,
GRB 251026B,GRB251026305,0.00000,97,2025-10-26 07:16:36.623,<a href=yr25/GRB251026305.html>details</a>,132.32,-12.21,482.4,"Fermi, GBM              ",,,,,,
GRB 251025C,GRB251025964,0.00000,97,2025-10-25 23:06:50.916,<a href=yr25/GRB251025964.html>details</a>,170.68,54.9,132.6,"Fermi, GBM              ",,,,,,
GRB 251023A,GRB251023248,0.32187,97,2025-10-23 05:55:27.467,<a href=yr25/GRB251023248.html>details</a>,39.87,-6.53,187.20000000000002,"Fermi, GBM              ",,,,,,unexamined
GRB 251022A,GRB251022940,0.00000,97,2025-10-22 22:32:03.166,<a href=yr25/GRB251022940.html>details</a>,65.38,-19.31,19.2,"Fermi, LAT              ",-1,-1,-1,-1,,
,GRB251018723,0.02185,97,2025-10-18 17:19:27.882,<a href=yr25/GRB251018723.html>details</a>,245.91,-85.95,186.0,"Fermi, GBM              ",,,,,,unexamined
GRB 251018A,GRB251018133,0.00000,97,2025-10-18 03:09:43.415,<a href=yr25/GRB251018133.html>details</a>,282.043,-37.0265,0.108,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251016B,GRB251016999,0.00000,97,2025-10-16 23:56:49.392,<a href=yr25/GRB251016999.html>details</a>,183.64,59.6,60.0,"Fermi, GBM              ",,,,,,
GRB 251016A,GRB251016625,0.00000,97,2025-10-16 14:57:21.234,<a href=yr25/GRB251016625.html>details</a>,266.207,-39.577,9.642000000000001,"Swift, XRT              ",-1,-1,-1,-1,,
GRB 251014C,GRB251014865,0.00000,97,2025-10-14 20:43:40.206,<a href=yr25/GRB251014865.html>details</a>,133.36,14.24,305.4,"Fermi, GBM              ",,,,,,
